2013-12-18 23:48:37	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 118 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:49:35	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 116 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:51:34	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 118 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:51:49	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 118 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:54:16	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 118 of C:\xampp\htdocs\comTrac\site\templates\process_email.php)
2013-12-18 23:58:29	admin	http://localhost/comTrac/mailer/	Error: 	Exception: Can't save page 0: /mike-fromhome-digital8/: It has no parent assigned (in C:\xampp\htdocs\comTrac\wire\core\Pages.php line 514)  #0 [internal function]: Pages->___save(Object(Page)) #1 C:\xampp\htdocs\comTrac\wire\core\Wire.php(271): call_user_func_array(Array, Array) #2 C:\xampp\htdocs\comTrac\wire\core\Wire.php(229): Wire->runHooks('save', Array) #3 C:\xampp\htdocs\comTrac\wire\core\Page.php(1005): Wire->__call('save', Array) #4 C:\xampp\htdocs\comTrac\wire\core\Page.php(1005): Pages->save(Object(Page)) #5 C:\xampp\htdocs\comTrac\site\templates\process_email.php(43): Page->save() #6 C:\xampp\htdocs\comTrac\wire\core\TemplateFile.php(125): require('C:\xampp\htdocs...') #7 [internal function]: TemplateFile->___render() #8 C:\xampp\htdocs\comTrac\wire\core\Wire.php(271): call_user_func_array(Array, Array) #9 C:\xampp\htdocs\comTrac\wire\core\Wire.php(229): Wire->runHooks('render', Array) #10 C:\xampp\htdocs\comTrac\wire\modules\PageRender.module(250): Wire->__call('render', Array) #11 C:\xampp\htdo
2013-12-19 00:26:03	admin	http://localhost/comTrac/processwire/news-list/	Parse Error: 	syntax error, unexpected '$config' (T_VARIABLE), expecting ',' or ';' (line 85 of C:\xampp\htdocs\comTrac\site\templates\blog_admin.inc)
2013-12-19 01:59:17	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-19 01:59:24	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
2013-12-19 01:59:26	admin	http://localhost/comTrac/mailer/	Error: 	Call to a member function get() on a non-object (line 32 of C:\xampp\htdocs\comTrac\site\templates\process_action.php)
